id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
634895718,20140501T000000,2,1.5,2848,5152,2.5,0,0,3,11,1954,0,1952,0,98191,47.3352021468726,-122.06975035178505,1216,4028,904887.8457860029
299900595,20140501T000000,3,1.5,4207,7026,1.5,0,0,3,10,1553,15,1932,0,98075,47.78457253360756,-121.89074881809768,1193,2995,1067950.5285259367
962061404,20140501T000000,5,2.5,2313,3736,2.0,0,2,3,11,2027,657,1951,0,98030,47.43420394840717,-122.01269280022196,1820,5530,862125.9567497936
887846414,20140502T000000,3,2.25,1592,5632,3.0,0,0,3,8,2206,66,1994,0,98083,47.74579898296547,-122.32866859446791,1599,9594,544017.9416622728
227521863,20140502T000000,4,1.75,1979,2275,1.0,0,0,2,9,2646,680,1917,0,98288,47.335332397962176,-122.04580616991383,4123,2252,616802.0677102555
523734972,20140502T000000,2,1.0,584,4165,2.0,1,2,3,11,1782,467,1934,2010,98195,47.31352540318347,-122.06658843909585,2167,4727,594464.5951845851
515968276,20140503T000000,2,1.0,1444,8007,3.0,0,0,3,8,2947,153,1911,1995,98185,47.570140677423844,-121.92540943549491,2154,7291,429969.9856626105
770094950,20140503T000000,1,3.5,1672,5572,2.0,0,0,1,12,2435,0,1950,0,98224,47.66762744698199,-122.3753071821023,1558,8487,675399.143211414
941095289,20140503T000000,2,1.5,1580,3074,2.0,0,0,2,8,1304,194,1988,0,98003,47.54005873831142,-122.01025573309904,4452,21816,448886.6927116454
769991378,20140504T000000,3,2.0,2121,5880,1.5,0,0,4,9,3346,230,2008,0,98141,47.33787741016316,-122.48084051550642,1260,7808,673041.8464192598
529389014,20140504T000000,2,1.75,1342,8705,2.0,0,0,4,9,2028,550,1994,2004,98031,47.2227366177304,-122.01267728955496,1621,3568,468906.1651811849
349467210,20140505T000000,2,2.0,2896,953,2.5,0,2,3,11,1215,676,1909,0,98039,47.570973292714605,-121.827693887243,2799,3120,963718.1623258162
998717130,20140505T000000,2,1.0,2000,12422,2.0,0,0,4,7,2957,0,2010,0,98129,47.27862233521933,-122.37792821362527,2161,3089,608186.3256850449
598972759,20140505T000000,3,2.25,1992,3755,2.0,0,0,3,10,3254,440,1951,0,98106,47.405905832219396,-122.2820901590267,981,2954,661580.5327383612
459525748,20140506T000000,3,1.0,1737,6907,1.0,0,0,5,8,1776,429,1933,0,98138,47.605470852202735,-122.09198989958001,2021,5840,590230.1737272699
534285667,20140506T000000,3,3.0,2124,12807,1.0,0,0,3,7,1447,522,2014,0,98111,47.258814064349764,-121.98732346789991,2543,6880,767850.7390358516
713608295,20140506T000000,3,1.75,2660,1640,3.0,0,0,3,10,1679,349,1966,0,98105,47.27635088787038,-122.25894002671683,2409,9505,823253.4377026893
993664919,20140507T000000,4,2.25,1306,2786,2.0,0,1,2,9,2300,0,2009,2002,98055,47.23699972438445,-122.0350187160019,2528,8366,617832.5342981229
748061058,20140507T000000,1,3.5,1473,3901,2.0,0,2,3,9,2694,153,1938,0,98133,47.79764747734409,-121.87050484522456,3748,13318,566568.1453553363
188409749,20140507T000000,4,2.5,1757,2625,1.0,0,0,5,7,2199,0,1907,0,98109,47.43224606116095,-121.99140884894301,2217,2878,521833.0208096368
342285876,20140508T000000,4,2.25,923,19691,2.0,0,0,3,8,1871,139,1995,1992,98059,47.74347710064078,-122.00228409767843,2636,18200,465660.7006940176
454088427,20140508T000000,2,2.0,1344,2476,3.0,0,0,3,9,2848,494,2006,0,98107,47.37615138305457,-122.23262053910837,60,2969,516632.0664004021
909827741,20140509T000000,5,2.0,1619,3151,2.0,0,2,2,8,1581,291,1928,0,98141,47.6519215390843,-121.86199948381325,3492,6492,651787.3780741767
103344769,20140509T000000,5,2.5,2699,5787,1.0,0,0,3,7,2521,544,1921,0,98117,47.33143996978743,-122.30587394062725,2051,4205,767033.5848197152
880932287,20140509T000000,2,5.0,2210,1878,2.0,0,1,3,12,1598,302,1983,0,98053,47.49899482578895,-122.35630375036621,1305,4821,819372.8712775006
887716372,20140510T000000,3,2.5,2154,3581,2.5,0,0,3,8,2101,0,1969,0,98070,47.694769443577464,-122.24504324639145,1843,8415,563280.032328482
604579232,20140510T000000,5,2.25,2680,6335,2.0,0,2,5,10,1720,0,1960,1992,98033,47.68980063933705,-122.04489064548305,2530,1555,889763.9376232632
332968651,20140510T000000,4,2.5,1890,3765,2.5,0,1,1,8,1760,244,1942,2009,98185,47.6765684304176,-121.89682540966385,2827,2528,629070.7407999117
579546681,20140511T000000,2,2.0,2312,4560,2.0,0,1,3,8,1535,135,1948,0,98042,47.69424064782313,-122.40754485235688,1923,8949,756298.190389553
206328085,20140511T000000,3,1.0,1917,3218,2.5,0,0,4,8,2741,0,1928,0,98032,47.32688336878353,-121.93033847591788,2481,4906,630905.3608555901
130349564,20140511T000000,3,2.25,2212,1463,2.0,0,0,3,8,1286,0,2005,0,98070,47.48932976353623,-121.9310236237317,1789,4002,696110.9183509558
881447915,20140512T000000,3,4.5,1533,6356,1.0,0,0,3,9,1281,0,1980,0,98050,47.4909228847583,-122.08915645038694,2393,2004,515078.0923216633
199052376,20140512T000000,4,1.5,48,20009,2.0,0,1,3,9,3284,141,1930,0,98042,47.73430149240875,-121.96754644229539,2165,4025,249638.38236416597
277077808,20140513T000000,3,2.5,1892,4987,1.5,0,0,4,8,2484,399,1952,0,98057,47.37813509763966,-122.37268351129389,2240,8473,692551.2044234428
206406362,20140513T000000,3,1.75,3138,5885,3.0,0,3,2,6,130,256,1933,0,98116,47.75889753603342,-122.3812897994255,1751,3131,881977.5323852638
580404538,20140513T000000,4,2.25,2740,8554,2.5,0,2,4,8,1404,682,1937,0,98104,47.47047744178366,-121.89603997610989,2322,14636,827262.0648706483
743647998,20140514T000000,1,1.0,2772,1780,2.0,0,0,4,6,531,0,1956,0,98288,47.60187220190645,-122.1512960939358,1338,11631,764991.1949534052
